source,type,department,bu_cost_center,billed_cost_center,cost_center,business_unit,business_internal,revenue_type,cc_costs_type,bu_costs_type,client,client_status,pm,sm,project_id,project,project_status,category,detail,media_type,paid_by,month,year,duzp,cf_date,dph_date,id_mediaplan,mediaplan,invoice_number,invoice_issue_date,invoice_due_date,invoice_payment_date,forecast_level,main_status,finance_status,cf_status,probability,hours,firma,industry,cost_category,fc_source,fc_source_prepayments,client_logo,pm_email,pm_picture,price_fc_revenues,price_fc_revenues_prepayments,price_fc_costs,price_fc_costs_prepayments,price_bp_revenues,price_bp_revenues_prepayments,price_bp_costs,price_bp_costs_prepayments,price_bp_revised_revenues,price_bp_revised_revenues_prepayments,price_bp_revised_costs,price_bp_revised_costs_prepayments,price_real_revenues,price_real_revenues_prepayments,price_real_revenues_findb,price_real_costs,forecast_fc_revenues,forecast_fc_revenues_prepayments,forecast_fc_costs,forecast_fc_costs_prepayments,forecast_fc_revenue_cm,forecast_fc_costs_cm,forecast_fc_real_up_to_date_revenues,forecast_fc_real_up_to_date_revenues_prepayments,price_fc_real_up_to_date_revenues_prepayments,forecast_fc_real_up_to_date_costs,forecast_fc_real_up_to_date_costs_prepayments,price_fc_real_up_to_date_costs_prepayments
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,média,,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,GMP - DV360,ziskové,MUP,1,2027,2027-01-01,2027-03-31,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,228571.42857142878,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,služby,,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,9999.9999999999964,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,média,Zoznam SK,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Zoznam SK,Retail & Consumer Services,Business,CM,CM,-,-,-,,,35714.285714285754,35714.285714285754,,,,,,,,,,,,,,,28571.4285714286,28571.4285714286,,28571.4285714286,,,,28571.4285714286,28571.4285714286,35714.285714285754
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,Seznam - Direct,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,68571.428571428638,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Seznam - Direct,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Seznam - Direct,Retail & Consumer Services,Business,CM,CM,-,-,-,,,428571.428571429,428571.428571429,,,,,,,,,,,,,,,342857.14285714319,342857.14285714319,,342857.14285714319,,,,342857.14285714319,342857.14285714319,428571.428571429
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,zisk z médií,Zoznam SK,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,4285.7142857142908,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,služby,Project Management,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,8.57142857142857,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,11999.999999999996,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,Product,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU2,Business,Produktivní revenue,,,-,Existing,-,-,4550026,-,ne,zisk z médií,Zoznam SK,ziskové,MUP,1,2027,2027-01-01,2027-03-09,2027-01-01,13768,-,,2027-02-01,2027-02-28,,3,Forecast,Plán - CMP,Pohledávky - plán,0.8,,,Retail & Consumer Services,,CM,CM,-,-,-,5357.1428571428623,5357.1428571428623,,,,,,,,,,,,,,,4285.7142857142908,4285.7142857142908,,,4285.7142857142908,,4285.7142857142908,4285.7142857142908,5357.1428571428623,,,
Mediaplán (CMP) - Fakturace,Revenue,Campaign Specialists,,Campaign Specialists,Campaign Specialists,BU2,Business,Produktivní revenue,,,-,Existing,-,-,4550026,-,ne,služby,Project Management,,MUP,1,2027,2027-01-01,2027-03-09,2027-01-01,13768,-,,2027-02-01,2027-02-28,,3,Forecast,Plán - CMP,Pohledávky - plán,0.8,8.57142857142857,,Retail & Consumer Services,,CM,CM,-,-,-,8793.1034482758478,8793.1034482758478,,,,,,,,,,,,,,,7034.4827586206775,7034.4827586206775,,,7034.4827586206775,,7034.4827586206775,7034.4827586206775,8793.1034482758478,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU2,Business,Produktivní revenue,,,-,Existing,-,-,4550026,-,ne,média marže,Ringier,ziskové,MUP,1,2027,2027-01-01,2027-03-09,2027-01-01,13768,-,,2027-02-01,2027-02-28,,3,Forecast,Plán - CMP,Pohledávky - plán,0.8,,,Retail & Consumer Services,,CM,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Mafra,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Mafra,Retail & Consumer Services,Business,CM,CM,-,-,-,,,114285.714285714,114285.714285714,,,,,,,,,,,,,,,91428.5714285712,91428.5714285712,,91428.5714285712,,,,91428.5714285712,91428.5714285712,114285.714285714
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,New,-,-,7210003,-,ne,služby,Client service,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14744,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.7,9.28571428571428,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,11234.999999999993,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Mediaclub (Prima),ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Mediaclub (Prima),Retail & Consumer Services,Business,CM,CM,-,-,-,,,142857.142857143,142857.142857143,,,,,,,,,,,,,,,114285.71428571439,114285.71428571439,,114285.71428571439,,,,114285.71428571439,114285.71428571439,142857.142857143
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Potential,-,-,7770001,-,ne,média,,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14668,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Automotive,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,14820,,,,,,
